date,year,open,high,low,ets_price,volume,sp500_close,carbon_index,coal_price,stoxx50,close_ma5,volume_ma5,close_ma5_ratio,close_ma10,volume_ma10,close_ma10_ratio,close_ma20,volume_ma20,close_ma20_ratio,close_ma60,volume_ma60,close_ma60_ratio,volume_ma60_ratio,close_ma120,volume_ma120,close_ma120_ratio,volume_ma120_ratio,high_close_ratio,low_close_ratio
2017-07-03,2017,5.13,5.13,5.13,5.13,0,2429.01,0.105263158,80.7,3482,5.014,0,0.023135221,4.937,1.6,0.039092566,4.9435,101.35,0.037726307,4.804333333,35.1,0.067786027,-1,4.948083333,116.3666667,0.036765077,-1,0,0
2017-07-04,2017,5.11,5.11,5.11,5.11,0,2750.706582,0,81.75,3479,5.05,0,0.011881188,4.954,0.5,0.031489705,4.9505,101.35,0.032218968,4.809833333,35.1,0.062406875,-1,4.9515,114.05,0.032010502,-1,0,0
2017-07-05,2017,5.04,5.04,5.04,5.04,0,2432.54,0.008403361,84.05,3473,5.072,0,-0.006309148,4.971,0.5,0.013880507,4.959,101.35,0.016333938,4.812833333,35.06666667,0.047200194,-1,4.951833333,113.6166667,0.017804853,-1,0,0
2017-07-06,2017,5.23,5.23,5.23,5.23,0,2409.75,0.035087719,85.5,3452,5.106,0,0.024285155,5.008,0,0.044329073,4.9685,101.35,0.052631579,4.818,35.06666667,0.085512661,-1,4.955083333,111.8833333,0.055481744,-1,0,0
2017-07-07,2017,5.33,5.33,5.33,5.33,0,2425.18,0.015625,85.45,3454,5.168,0,0.031346749,5.055,0,0.054401583,4.983,101.35,0.069636765,4.8245,35.06666667,0.104777697,-1,4.956166667,111.05,0.075427918,-1,0,0
2017-07-10,2017,5.39,5.39,5.39,5.39,0,2427.43,0.011904762,84.65,3472,5.22,0,0.03256705,5.117,0,0.053351573,5.007,100.9,0.07649291,4.832,35.06666667,0.115480132,-1,4.955916667,110.275,0.087588909,-1,0,0
2017-07-11,2017,5.32,5.32,5.32,5.32,0,2425.53,-0.018867925,84.65,3455,5.262,0,0.011022425,5.156,0,0.031807603,5.023,100.9,0.059128011,4.839833333,35.06666667,0.099211405,-1,4.956,89.16666667,0.073446328,-1,0,0
2017-07-12,2017,5.47,5.47,5.47,5.47,0,2443.25,-0.01459854,84.3,3513,5.348,0,0.022812266,5.21,0,0.049904031,5.05,50.9,0.083168317,4.850666667,35.03333333,0.127680044,-1,4.959333333,86.29166667,0.102970829,-1,0,0
2017-07-13,2017,5.35,5.35,5.35,5.35,0,2447.83,0.009433962,83.15,3520,5.372,0,-0.004095309,5.239,0,0.021187249,5.07,0.9,0.055226824,4.860833333,35,0.100634322,-1,4.9625,82.6,0.078085642,-1,0,0
2017-07-14,2017,5.41,5.41,5.41,5.41,0,2459.27,-0.022222222,83.3,3516,5.388,0,0.004083148,5.278,0,0.025009473,5.097,0.8,0.061408672,4.875,34.9,0.10974359,-1,4.964333333,80.2,0.089773719,-1,0,0
